claim_id,policy_number,claim_date,claim_amount,claim_type,status
CLM-0001,POL-0066,2024-08-27,6453.02,Accident,Open
CLM-0002,POL-0037,2024-11-21,5478.9,Vandalism,Settled
CLM-0003,POL-0012,2023-04-27,5545.97,Accident,Closed
CLM-0004,POL-0019,2022-02-20,£846.60,Flood,Open
CLM-0005,POL-0059,2024-04-28,7146.03,Vandalism,Closed
CLM-0006,POL-0050,2024-10-09,3497.4,Accident,Open
CLM-0007,POL-0014,2024-05-20,2141.31,Vandalism,Pending
CLM-0008,POL-0007,2023-05-26,7381.03,Theft,Pending
CLM-0009,POL-0018,2024-08-09,"£5,506.83",Vandalism,Settled
CLM-0010,POL-0057,2024-10-30,3700.56,Vandalism,Pending
CLM-0011,POL-0021,2024-08-30,3875.52,Accident,Settled
CLM-0012,POL-0067,2024-09-19,5200.61,Fire,Pending
CLM-0013,POL-0010,2023-08-09,2258.7,Fire,Settled
CLM-0014,POL-0070,2022-06-15,"£1,537.81",Accident,Pending
CLM-0015,POL-0020,2023-03-15,981.72,Flood,Settled
CLM-0016,POL-0070,2024-08-12,3618.31,Accident,Pending
CLM-0017,POL-0050,2022-02-10,6925.49,Vandalism,Pending
CLM-0018,POL-0062,2022-01-13,7570.56,Fire,Pending
CLM-0019,POL-0054,2023-03-28,"£4,161.72",Fire,Pending
CLM-0020,POL-0063,2022-03-01,3416.43,Flood,Closed
CLM-0021,POL-0060,2022-09-19,7855.41,Vandalism,Open
CLM-0022,POL-0051,2022-02-25,1129.61,Flood,Closed
CLM-0023,POL-0060,2023-01-08,877.13,Flood,Settled
CLM-0024,POL-0028,2024-07-20,,Flood,Settled
CLM-0025,POL-0054,2023-06-01,6761.83,Flood,Open
CLM-0026,POL-0070,2022-04-17,7999.31,Fire,Closed
CLM-0027,POL-0009,2022-03-24,6156.75,Accident,Closed
CLM-0028,POL-0003,2022-11-09,2289.09,Flood,Open
CLM-0029,POL-0073,2023-03-23,,Fire,Settled
CLM-0030,POL-0022,2022-08-23,6333.44,Accident,Settled
CLM-0031,POL-0014,2022-02-22,7466.65,Vandalism,Pending
CLM-0032,POL-0051,2023-02-11,1069.97,Accident,Open
CLM-0033,POL-0039,2022-09-05,6471.7,Vandalism,Open
CLM-0034,POL-0045,2024-12-27,-302.38,Fire,Open
CLM-0035,POL-0044,2022-01-26,6871.82,Flood,Open
CLM-0036,POL-0056,2024-01-12,5266.89,Flood,Closed
CLM-0037,POL-0056,2022-12-27,6003.46,Fire,Pending
CLM-0038,POL-0060,2024-06-11,6693.01,Vandalism,Settled
CLM-0039,POL-0042,2023-05-18,-452.65,Theft,Settled
CLM-0040,POL-0032,2024-08-09,4773.87,Flood,Settled
CLM-0041,POL-0004,2024-10-09,6882.15,Accident,Pending
CLM-0042,POL-0028,2023-12-28,6483.74,Fire,Settled
CLM-0043,POL-0077,2023-07-20,4668.43,Vandalism,Closed
CLM-0044,POL-0011,2023-05-10,-376.24,Flood,Closed
CLM-0045,POL-0063,2024-07-06,6447.0,Theft,Settled
CLM-0046,POL-0029,2024-04-08,5688.4,Fire,Settled
CLM-0047,POL-0061,2024-12-23,3078.18,Vandalism,Settled
CLM-0048,POL-0046,2024-07-18,2531.87,Fire,Closed
CLM-0049,POL-0016,01/30/2023,2866.61,Vandalism,Closed
CLM-0050,POL-0025,2023-03-20,6039.53,Fire,Settled
CLM-0051,POL-0013,2023-02-02,2721.85,Fire,Closed
CLM-0052,POL-0039,2022-01-29,5810.14,Accident,Settled
CLM-0053,POL-0006,2022-04-22,4650.19,Accident,Pending
CLM-0054,POL-0014,01/26/2022,4805.48,Flood,Pending
CLM-0055,POL-0057,2023-11-29,1882.73,Theft,Settled
CLM-0056,POL-0062,2022-08-22,6665.87,Flood,Pending
CLM-0057,POL-0010,2022-04-20,1637.95,Vandalism,Settled
CLM-0058,POL-0011,2023-05-24,1388.39,Flood,Closed
CLM-0059,POL-0067,2024-02-19,3878.86,Flood,Settled
CLM-0060,POL-0076,2024-05-28,2790.35,Vandalism,Open
