policy_number,customer_id,inception_date,expiry_date,premium,ncd,postcode,product_type,status,created_at
POL-00001,CUST-001,2024-01-15,2025-01-15,625.00,3,SW1A 1AA,Motor,Active,2024-01-15 06:00:00
,CUST-002,2024-01-15,2025-01-15,580.00,2,EC1A 1BB,Motor,Active,2024-01-15 06:01:00
POL-00003,CUST-003,2024-01-15,2025-01-15,710.00,4,W1A 0AX,Home,Active,2024-01-15 06:02:00
POL-0004,CUST-005,2023-02-18,2024-02-18,432.44,6,se1 7pb,Home,Active,2022-09-30 09:16:00
POL-0005,CUST-006,2023-06-28,2024-06-27,23.58,8,EC2R 8AH,Motor,Lapsed,2023-03-20 13:52:00
POL-0006,CUST-007,2023-11-30,2024-11-29,7161.99,3,WC2N 5DU,Home,Active,2023-11-25 09:45:00
POL-0007,CUST-008,2022-03-31,2023-03-31,-322.36,7,N1 9GU,Travel,Active,2022-01-16 14:13:00
POL-0008,CUST-009,2023-07-02,2024-07-01,,1,SW3 4EP,Motor,Active,2024-08-05 08:22:00
POL-0009,CUST-010,2022-05-13,2023-05-13,1171.76,13,W1A 0AX,Home,Lapsed,2022-12-30 16:42:00
POL-0010,CUST-011,2022-02-07,2023-02-07,13.01,1,W1A 0AX,Motor,Lapsed,2022-06-16 14:40:00
POL-0011,CUST-012,2022-11-14,2023-11-14,5924.6,0,E1 6RF,Motor,Lapsed,2023-02-16 08:40:00
POL-0012,CUST-013,2022-09-21,2023-09-21,-76.67,8,W1A 0AX,Motor,Lapsed,2022-04-25 10:47:00
POL-0013,CUST-014,2023-09-07,2024-09-06,,2,N1 9GU,Motor,Active,2022-10-22 12:11:00
POL-0014,CUST-015,2022-07-01,2023-07-01,1344.56,15,SE1 7PB,Home,Active,2024-10-19 11:54:00
POL-0015,CUST-016,2022-05-01,2023-05-01,23.19,5,EC1A 1BB,Home,Active,2022-04-08 13:13:00
POL-0016,CUST-017,2022-12-11,2023-12-11,5246.61,6,N1 9GU,Motor,Active,2022-07-09 10:56:00
POL-0017,CUST-018,2023-01-17,2024-01-17,499.27,6,w1a 0ax,Life,Active,2023-09-29 09:55:00
POL-0018,CUST-019,2022-08-12,2023-08-12,,3,NW1 4NP,Motor,Active,2024-06-15 14:58:00
POL-0019,CUST-020,2022-09-20,2023-09-20,1379.37,15,NW1 4NP,Motor,Active,2024-09-04 16:08:00
POL-0020,CUST-021,2023-03-18,2024-03-17,21.79,4,EC2R 8AH,Motor,Lapsed,2024-06-20 11:24:00
POL-0021,CUST-022,2022-07-22,2023-07-22,1102.64,5,E1 6RF,Motor,Active,2022-12-18 12:42:00
POL-0022,CUST-023,2023-03-03,2024-03-02,1053.52,3,ec1a 1bb,Motor,Active,2022-08-19 16:34:00
POL-0023,CUST-024,2022-01-02,2023-01-02,,8,W1A 0AX,Travel,Lapsed,2023-02-25 12:47:00
POL-0024,CUST-025,2023-03-03,2024-03-02,1013.77,11,SW3 4EP,Motor,Active,2023-08-12 11:47:00
POL-0025,CUST-026,2022-04-18,2023-04-18,43.98,4,EC2R 8AH,Motor,Active,2024-05-03 12:23:00
POL-0026,CUST-027,2023-10-04,2024-10-03,1489.37,4,EC1A 1BB,Home,Lapsed,2024-03-27 10:16:00
POL-0027,CUST-028,2023-04-17,2024-04-16,1372.3,5,ec1a 1bb,Home,Lapsed,2024-05-06 16:45:00
POL-0028,CUST-029,2023-01-04,2024-01-04,,4,NW1 4NP,Home,Lapsed,2023-01-12 15:36:00
POL-0029,CUST-030,2023-10-03,2024-10-02,1474.57,7,W1A 0AX,Home,Active,2023-05-06 15:33:00
POL-0030,CUST-031,2022-01-16,2023-01-16,293.79,1,WC2N 5DU,Travel,Active,2024-12-27 12:40:00
POL-0031,CUST-032,2022-01-13,2023-01-13,415.78,5,NW1 4NP,Motor,Active,2022-04-08 14:02:00
POL-0032,CUST-033,2022-02-18,2023-02-18,921.85,5,se1 7pb,Motor,Active,2022-11-21 15:03:00
POL-0033,CUST-034,2022-08-24,2023-08-24,£423.39,3,WC2N 5DU,Motor,Active,2024-01-18 09:35:00
POL-0034,CUST-035,2022-07-22,2023-07-22,1048.38,8,E1 6RF,Home,Active,2022-06-16 09:46:00
POL-0035,CUST-036,2022-05-09,2023-05-09,312.46,2,SW3 4EP,home,Active,2024-02-16 10:22:00
POL-0036,CUST-037,2022-08-26,2023-08-26,1361.01,2,SW1A 1AA,Travel,Lapsed,2023-01-21 12:11:00
POL-0037,CUST-038,2022-04-24,2023-04-24,1149.9,2,sw1a 1aa,Motor,Active,2023-04-19 14:58:00
POL-0038,CUST-039,2022-08-30,2023-08-30,"£1,336.46",7,EC2R 8AH,Home,Active,2022-11-27 10:49:00
POL-0039,CUST-040,2023-03-31,2024-03-30,966.09,5,E1 6RF,Travel,Active,2024-03-23 08:19:00
