quote_id,policy_number,quote_date,quoted_premium,ncd,product_type,postcode,customer_id
QUO-0001,POL-0001,2023-09-17,1543.35,1,Life,SE1 7PB,CUST-002
QUO-0002,POL-0002,2023-10-03,479.66,1,Home,SE1 7PB,CUST-003
QUO-0003,POL-0003,2022-06-27,963.83,2,Motor,N1 9GU,CUST-004
QUO-0004,POL-0004,2023-04-07,1158.91,7,Travel,SW1A 1AA,CUST-005
QUO-0005,POL-0005,2022-08-26,589.11,4,Home,WC2N 5DU,CUST-006
QUO-0006,POL-0006,2022-03-14,1156.09,4,Life,EC2R 8AH,CUST-007
QUO-0007,POL-0007,2023-11-09,1321.55,3,Motor,EC1A 1BB,CUST-008
QUO-0008,POL-0008,2023-07-12,,2,Travel,W1A 0AX,CUST-009
QUO-0009,POL-0009,2022-03-15,264.69,4,Motor,EC2R 8AH,CUST-010
QUO-0010,POL-0010,2022-10-23,803.6,7,Home,NW1 4NP,CUST-011
QUO-0011,POL-0011,2023-12-18,751.56,4,Motor,SW3 4EP,CUST-012
QUO-0012,POL-0012,2023-05-21,801.62,0,Motor,E1 6RF,CUST-013
QUO-0013,POL-0013,2023-09-11,,1,Home,EC2R 8AH,CUST-014
QUO-0014,POL-0014,2023-08-25,1530.12,4,Motor,SW1A 1AA,CUST-015
QUO-0015,POL-0015,2022-06-29,848.11,7,Travel,W1A 0AX,CUST-016
QUO-0016,POL-0016,2023-08-23,798.96,7,Motor,WC2N 5DU,CUST-017
QUO-0017,POL-0017,2022-12-23,759.85,5,Home,EC1A 1BB,CUST-018
QUO-0018,POL-0018,2022-06-14,,7,Travel,N1 9GU,CUST-019
QUO-0019,POL-0019,2023-07-18,232.11,1,Travel,NW1 4NP,CUST-020
QUO-0020,POL-0020,2022-11-28,344.61,6,Life,SW3 4EP,CUST-021
QUO-0021,POL-0021,2022-01-02,1113.88,7,Motor,SW1A 1AA,CUST-022
QUO-0022,POL-0022,2022-07-12,916.18,7,Home,WC2N 5DU,CUST-023
QUO-0023,POL-0023,2022-02-22,469.05,2,Travel,WC2N 5DU,CUST-024
QUO-0024,POL-0024,2023-12-17,868.29,0,Home,EC2R 8AH,CUST-025
QUO-0025,POL-0025,2022-09-03,1187.89,4,Motor,SW1A 1AA,CUST-026
QUO-0026,POL-0026,2023-07-20,759.35,3,Life,EC1A 1BB,CUST-027
QUO-0027,POL-0027,2023-04-18,1524.83,2,Motor,NW1 4NP,CUST-028
QUO-0028,POL-0028,2023-06-06,1181.68,6,Life,WC2N 5DU,CUST-029
QUO-0029,POL-0029,2023-04-29,526.1,2,Motor,SE1 7PB,CUST-030
QUO-0030,POL-0030,2023-09-06,901.7,2,Life,EC1A 1BB,CUST-031
QUO-0031,POL-0031,2022-10-10,"£1,277.20",6,Travel,SW3 4EP,CUST-032
QUO-0032,POL-0032,2022-10-01,1345.18,4,Home,NW1 4NP,CUST-033
QUO-0033,POL-0033,2023-08-25,1003.49,7,Life,W1A 0AX,CUST-034
QUO-0034,POL-0034,2023-04-03,944.78,5,Travel,SW3 4EP,CUST-035
QUO-0035,POL-0035,2023-07-11,715.64,5,Life,SE1 7PB,CUST-036
QUO-0036,POL-0036,2023-12-16,£519.10,6,Home,N1 9GU,CUST-037
QUO-0037,POL-0037,2022-02-14,631.81,7,Home,N1 9GU,CUST-038
QUO-0038,POL-0038,2023-01-31,1583.55,2,Motor,SW1A 1AA,CUST-039
QUO-0039,POL-0039,2022-05-10,893.25,5,Life,EC1A 1BB,CUST-040
QUO-0040,POL-0040,2023-03-27,321.59,7,Motor,W1A 0AX,CUST-001
QUO-0041,POL-0041,2023-02-24,"£1,416.72",2,Motor,WC2N 5DU,CUST-002
QUO-0042,POL-0042,2022-09-29,660.76,6,Home,EC1A 1BB,CUST-003
QUO-0043,POL-0043,2022-12-03,1390.32,6,Travel,WC2N 5DU,CUST-004
QUO-0044,POL-0044,2023-07-09,230.98,1,Home,NW1 4NP,CUST-005
QUO-0045,POL-0045,2022-08-21,1240.41,6,Motor,EC1A 1BB,CUST-006
QUO-0046,POL-0046,2023-03-31,416.24,4,Motor,w1a 0ax,CUST-007
QUO-0047,POL-0047,2022-02-27,596.58,5,Motor,W1A 0AX,CUST-008
QUO-0048,POL-0048,2022-09-08,934.26,2,Home,W1A 0AX,CUST-009
QUO-0049,POL-0049,2022-03-22,1045.48,6,Motor,SE1 7PB,CUST-010
QUO-0050,POL-0050,2023-05-25,1476.22,2,Home,WC2N 5DU,CUST-011
QUO-0051,POL-0051,2023-10-16,540.65,4,Home,se1 7pb,CUST-012
QUO-0052,POL-0052,2022-10-22,1142.21,2,Motor,WC2N 5DU,CUST-013
QUO-0053,POL-0053,2022-12-20,1582.47,4,Home,N1 9GU,CUST-014
QUO-0054,POL-0054,2023-12-08,535.14,4,Home,N1 9GU,CUST-015
QUO-0055,POL-0055,2023-05-10,331.45,6,Motor,E1 6RF,CUST-016
QUO-0056,POL-0056,2023-08-12,600.14,4,Motor,N1 9GU,CUST-017
QUO-0057,POL-0057,2022-10-09,191.5,0,Motor,WC2N 5DU,CUST-018
QUO-0058,POL-0058,2022-10-21,1281.55,3,Motor,E1 6RF,CUST-019
QUO-0059,POL-0059,2022-08-13,1084.0,4,Home,W1A 0AX,CUST-020
QUO-0060,POL-0060,2023-10-06,317.97,0,Travel,WC2N 5DU,CUST-021
