policy_number,risk_score,vehicle_age_years,vehicle_value,driver_age,prior_claims
POL-0001,0.128,12,33759,23,2
POL-0002,0.378,14,10377,26,4
POL-0003,0.845,12,25296,35,1
POL-0004,0.318,16,43630,36,2
POL-0005,0.784,15,43442,27,1
POL-0006,0.831,13,43625,69,4
POL-0007,0.411,13,3585,52,0
POL-0008,0.487,9,27552,70,2
POL-0009,0.192,8,22802,57,4
POL-0010,,20,12297,22,3
POL-0011,0.873,10,30268,25,1
POL-0012,0.139,2,15783,49,0
POL-0013,0.183,18,8698,47,2
POL-0014,0.67,18,20603,65,1
POL-0015,0.853,4,481716,57,3
POL-0016,0.338,12,12125,46,1
POL-0017,0.827,4,44199,41,4
POL-0018,0.866,12,5543,35,1
POL-0019,0.923,15,6850,31,4
POL-0020,,2,36045,33,1
POL-0021,0.769,7,5882,66,4
POL-0022,0.276,7,37148,32,2
POL-0023,0.758,20,3119,72,1
POL-0024,0.939,18,13527,29,0
POL-0025,0.662,1,376656,40,1
POL-0026,0.113,9,5201,65,3
POL-0027,0.547,3,23002,67,2
POL-0028,0.536,4,21984,32,4
POL-0029,0.137,17,15668,59,0
POL-0030,,16,38587,45,0
POL-0031,0.517,15,6087,23,2
POL-0032,0.617,3,8300,57,4
POL-0033,0.566,11,18998,56,4
POL-0034,0.351,17,28428,24,0
POL-0035,0.825,18,33275,31,3
POL-0036,0.484,8,20380,70,3
POL-0037,0.439,4,16127,38,2
POL-0038,0.418,5,31846,48,0
POL-0039,0.178,3,6916,24,2
POL-0040,0.79,18,5519,53,4
POL-0041,0.38,4,20254,73,3
POL-0042,0.838,2,43673,56,2
POL-0043,0.399,19,24311,27,3
POL-0044,0.291,4,17705,53,2
POL-0045,0.198,9,27112,69,3
POL-0046,0.818,20,28770,59,4
POL-0047,0.122,9,4216,35,2
POL-0048,0.883,12,3256,73,1
POL-0049,0.581,13,5923,65,0
POL-0050,0.178,17,12036,44,3
POL-0051,0.39,12,16089,38,4
POL-0052,0.607,2,9534,66,4
POL-0053,0.142,3,14428,60,3
POL-0054,0.513,15,20396,31,4
POL-0055,0.197,14,7657,61,4
POL-0056,0.514,10,4908,43,4
POL-0057,0.147,7,15660,31,1
POL-0058,0.75,10,16781,18,3
POL-0059,0.735,6,8426,52,1
POL-0060,0.525,12,6027,73,0
POL-0061,0.471,15,41689,73,2
POL-0062,0.589,19,19986,58,3
POL-0063,0.346,13,3876,38,1
POL-0064,0.781,20,22324,62,2
POL-0065,0.175,4,13219,55,3
POL-0066,0.545,13,39562,65,2
POL-0067,0.288,6,6208,58,0
POL-0068,0.551,7,41049,40,2
POL-0069,0.718,5,12923,27,2
POL-0070,0.268,20,9421,66,0
POL-0071,0.251,16,22486,54,4
POL-0072,0.482,19,30006,57,2
POL-0073,0.835,11,9340,22,3
POL-0074,0.476,10,36446,55,0
POL-0075,0.399,3,16037,46,0
POL-0076,0.148,10,6223,73,0
POL-0077,0.623,17,19148,55,4
POL-0078,0.911,2,21889,69,4
POL-0079,0.654,11,28410,50,1
POL-0080,0.914,15,7347,75,2
